n; phi; Abs; Rel
5;1,600000000000000;0,018034;1,1146
6;1,625000000000000;0,006966;0,43052
7;1,615384615384610;0,0026494;0,16374
8;1,619047619047610;0,0010136;0,062646
9;1,617647058823520;0,00038693;0,023914
10;1,618181818181810;0,00014783;0,0091364
11;1,617977528089880;5,65E-05;0,0034895
12;1,618055555555550;2,16E-05;0,0013329
13;1,618025751072960;8,24E-06;0,00050912
14;1,618037135278510;3,15E-06;0,00019447
15;1,618032786885240;1,20E-06;7,43E-05
16;1,618034447821680;4,59E-07;2,84E-05
17;1,618033813400120;1,75E-07;1,08E-05
18;1,618034055727550;6,70E-08;4,14E-06
19;1,618033963166700;2,56E-08;1,58E-06
20;1,618033998521800;9,77E-09;6,04E-07
21;1,618033985017350;3,73E-09;2,31E-07
22;1,618033990175590;1,43E-09;8,81E-08
23;1,618033988205320;5,45E-10;3,37E-08
24;1,618033988957900;2,08E-10;1,29E-08
25;1,618033988670440;7,95E-11;4,91E-09
26;1,618033988780240;3,03E-11;1,88E-09
27;1,618033988738300;1,16E-11;7,16E-10
28;1,618033988754320;4,43E-12;2,74E-10
29;1,618033988748200;1,69E-12;1,05E-10
30;1,618033988750540;6,46E-13;3,99E-11
31;1,618033988749640;2,47E-13;1,52E-11
32;1,618033988749980;9,41E-14;5,82E-12
33;1,618033988749850;3,60E-14;2,22E-12
34;1,618033988749900;1,38E-14;8,51E-13
35;1,618033988749880;5,33E-15;3,29E-13
36;1,618033988749890;2,00E-15;1,24E-13
37;1,618033988749890;8,88E-16;5,49E-14
38;1,618033988749890;2,22E-16;1,37E-14
39;1,618033988749890;2,22E-16;1,37E-14
40;1,618033988749890;0;0
41;1,618033988749890;0;0
42;1,618033988749890;0;0
43;1,618033988749890;0;0
44;1,618033988749890;0;0
;;;
95;1,618033989;0;0
96;1,618033989;0;0
97;1,618033989;0;0
98;1,618033989;0;0
99;1,618033989;0;0
100;1,618033989;0;0
;;;
994;1,618033989;0;0
995;1,618033989;0;0
996;1,618033989;0;0
997;1,618033989;0;0
998;1,618033989;2,22E-16;1,37E-14
999;1,618033989;2,22E-16;1,37E-14
1000;1,618033989;2,22E-16;1,37E-14
